id,group,s1.1,s1.2,s1.3,s1.4,s1.5,s1.6,s1.7,s1.8,s1.9,s1.10,s2.1,s2.2,s2.3,s2.4,s2.5,s2.6,s2.7,s2.8,s2.9,s2.10,s2.11,s2.12,s2.13,s2.14,s2.15,s2.16,s2.17,s2.18,s2.19,s2.20,pre,post,diff,diffPercent
12,control,2,2,2,4,2,4,3,3,4,3,3,3,4,5,3,4,5,4,3,4,2,2,1,none,4,5,1,none,none,none,7.614470489,6.393529373,-1.22,-0.16
13,control,4,3,2,1,5,2,4,2,4,5,3,4,5,4,4,5,1,3,2,4,3,3,2,none,2,2,5,none,none,none,4.497878711,0.423923595,-4.07,-0.91
14,control,1,4,2,3,3,5,1,5,2,2,4,2,4,1,2,4,1,4,3,5,4,6,2,none,5,4,3,none,none,none,7.759310359,6.471285981,-1.29,-0.17
15,control,4,4,1,5,4,3,2,3,1,4,1,5,3,2,5,5,4,1,1,3,5,3,1,none,4,3,4,none,none,none,7.904698962,6.789702484,-1.11,-0.14
16,control,2,3,1,3,2,5,2,3,3,4,4,3,4,1,3,2,2,3,2,3,3,4,2,none,5,4,4,none,none,none,6.489288425,4.016878965,-2.47,-0.38
17,control,3,4,2,1,4,4,2,2,2,2,1,2,1,5,4,3,5,4,4,2,3,3,2,none,4,4,4,none,none,none,5.015089428,8.124088105,3.11,0.62
18,experimental,3,1,1,4,2,2,2,2,3,2,2,3,4,2,2,3,2,4,4,4,3,6,2,none,3,1,2,none,none,none,0.902191628,8.475173705,7.57,8.39
19,experimental,5,3,3,3,2,1,1,4,4,5,4,4,2,2,1,3,4,2,5,3,3,2,1,none,5,2,4,none,none,none,2.450798247,4.389998699,1.94,0.79
20,experimental,4,4,4,1,3,1,1,1,3,3,5,3,4,2,2,3,5,1,1,4,1,3,2,none,2,5,3,none,none,none,4.707493368,2.076741119,-2.63,-0.56
21,experimental,1,3,3,1,4,2,1,3,3,2,4,3,3,4,1,3,4,2,2,1,2,4,3,none,3,4,3,none,none,none,5.818054882,0.170561382,-5.65,-0.97
22,experimental,3,4,4,2,2,2,3,3,3,2,4,4,2,2,4,1,1,4,4,1,3,1,1,none,2,1,4,none,none,none,0.599331191,1.078371685,0.48,0.80
23,experimental,4,4,2,4,5,3,2,3,2,4,5,3,2,5,2,2,5,3,3,1,1,6,2,none,1,2,5,none,none,none,8.037077832,0.146816528,-7.89,-0.98
24,experimental,2,4,1,3,4,5,1,2,1,2,2,3,5,3,5,2,3,2,3,5,2,2,2,none,2,5,1,none,none,none,5.704123279,1.115762327,-4.59,-0.80
25,experimental,1,5,2,1,3,3,2,4,5,2,5,5,5,2,5,2,3,4,4,5,2,1,2,none,3,4,1,none,none,none,0.773506919,4.267863322,3.49,4.52
26,experimental,2,4,3,1,2,4,4,2,4,2,5,4,5,4,1,1,5,2,2,2,3,4,2,none,2,1,2,none,none,none,6.050040019,0.37477411,-5.68,-0.94
27,experimental,2,2,1,3,4,2,5,3,2,1,5,4,3,3,5,1,3,4,2,3,2,1,1,none,1,1,2,none,none,none,2.191119569,4.967435059,2.78,1.27
28,experimental,2,2,5,4,5,5,4,2,3,3,4,3,1,2,3,3,2,4,4,1,3,3,1,none,2,4,3,none,none,none,6.607448482,7.084586371,0.48,0.07
29,experimental,2,4,2,3,3,4,3,3,2,4,4,3,3,3,4,2,1,2,3,4,3,3,2,none,4,2,3,none,none,none,7.954260352,3.998243405,-3.96,-0.50
30,experimental,2,1,3,3,4,4,3,1,5,2,3,3,3,3,5,4,2,1,3,2,2,1,1,none,3,3,3,none,none,none,1.032819332,7.845034906,6.81,6.60
31,experimental,4,5,4,2,2,2,2,2,3,1,5,4,4,2,2,2,1,3,3,4,3,5,2,none,2,4,1,none,none,none,4.506589726,2.71916739,-1.79,-0.40
32,experimental,2,2,5,4,4,1,3,3,1,1,5,2,2,2,3,3,4,4,5,3,4,6,1,none,4,2,3,none,none,none,0.693088511,0.802221796,0.11,0.16
33,experimental,2,5,4,2,5,1,4,1,3,4,3,3,2,2,4,2,2,5,3,4,2,6,2,none,2,2,4,none,none,none,2.077412409,3.947515745,1.87,0.90
34,experimental,4,2,3,5,3,4,5,3,4,2,3,1,1,4,3,1,5,1,4,4,5,4,1,none,4,1,2,none,none,none,6.413478636,3.03142379,-3.38,-0.53
