id,group,s1.1,s1.2,s1.3,s1.4,s1.5,s1.6,s1.7,s1.8,s1.9,s1.10,s2.1,s2.2,s2.3,s2.4,s2.5,s2.6,s2.7,s2.8,s2.9,s2.10,s2.11,s2.12,s2.13,s2.14,s2.15,s2.16,s2.17,s2.18,s2.19,s2.20,pre,post,diff,diffPercent
33,control,3,4,4,5,3,4,3,4,4,4,4,4,3,4,5,4,4,4,3,1,18-25,4,2,"Nhập môn Hệ thống thông tin quản lý, Kinh tế chính trị",Yes,Yes,4,Good and useful,Good and useful,Good and useful,7.918721097,6.780136384,-1.14,-0.14
34,control,4,3,4,5,4,5,2,4,4,3,5,4,5,3,4,4,4,5,3,1,18-25,1,2,"Luật và đạo đức kinh doanh, Nhập môn Hệ thống thông tin quản lý",Yes,Yes,5,,,,0.31637895,5.274567936,4.96,15.67
35,control,1,2,3,4,4,5,4,3,5,4,4,4,4,4,3,4,4,4,3,,18-25,3,3,"Anh văn giao tiếp quốc tế 6, Lịch sử Đảng, Nhập môn Hệ thống thông tin quản lý",Yes,Yes,4,Useful,Useful,Useful,6.328062385,4.582827824,-1.75,-0.28
36,control,4,4,4,4,4,4,4,4,5,5,3,4,3,4,3,5,5,4,3,,18-25,2,3,"Giới và phát triển, Quản trị nhân sự, Nhập môn Hệ thống thông tin quản lý",Yes,Yes,5,Useful,Useful,Useful,5.522209091,9.47643141,3.95,0.72
37,control,1,2,3,4,4,5,4,3,5,4,4,4,4,4,3,4,4,4,3,,18-25,3,3,"Anh văn giao tiếp quốc tế 6, Lịch sử Đảng, Nhập môn Hệ thống thông tin quản lý",Yes,Yes,4,Useful,Useful,Useful,5.778953208,4.123465583,-1.66,-0.29
38,control,3,4,4,3,4,3,4,3,5,4,4,4,4,3,4,3,3,4,3,,18-25,2,3,"Software Architechture, Bóng chuyền, Front end",Yes,Yes,4,,,,3.806476385,10.37958808,6.57,1.73
39,control,4,5,5,4,3,5,5,3,5,4,5,4,5,3,5,3,5,4,4,,18-25,3,2,Software Architechture,Yes,Yes,1,No comment,No comment,No comment,2.638847878,8.897898516,6.26,2.37
40,control,3,4,4,3,4,3,4,3,5,4,4,4,4,3,4,3,3,4,3,,18-25,2,2,"Software Architechture, Hệ quản trị cơ sở dữ liệu",Yes,Yes,4,,,,2.363148729,2.01376069,-0.35,-0.15
41,control,4,4,5,4,3,5,4,4,5,5,5,5,5,5,5,5,4,4,5,,18-25,3,2,"Software Architechture, Web Front end",Yes,Yes,5,,,,5.700986249,2.49168322,-3.21,-0.56
42,control,3,3,4,5,4,5,5,4,4,4,4,3,4,4,3,4,4,4,3,,18-25,2,4,"Software Architechture, Hệ quản trị cơ sở dữ liệu, Con người và Môi trường, Phát triển Web Front end",No,Yes,3,,,,5.357947813,2.479607236,-2.88,-0.54
43,control,3,4,4,3,4,5,4,4,5,5,4,4,3,5,5,5,5,4,3,,18-25,3,1,Software Architechture,Yes,Yes,5,,,,8.555908385,9.883465469,1.33,0.16
44,control,4,4,3,4,5,5,3,4,5,5,5,5,5,5,5,5,4,5,5,,18-25,3,2,Software Architechture,Yes,Yes,5,Good,Nice,Perfect,1.303664002,4.948090804,3.64,2.80
45,experimental,4,5,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,,18-25,4,2,"Software Architechture, Hệ quản trị cơ sở dữ liệu",Yes,Yes,4,This website is useful for me. I think is okey,,,5.180584116,2.307774787,-2.87,-0.55
46,experimental,4,4,3,3,4,5,3,3,3,4,2,2,3,2,4,4,4,3,4,,18-25,3,1,Software Architechture,Yes,Yes,4,,,,5.334455959,3.063149273,-2.27,-0.43
47,experimental,2,4,2,4,4,4,4,4,5,5,4,4,4,4,4,4,5,4,5,,18-25,3,3,"Kỹ năng sử dụng tiếng Việt, Truyền thông đại chúng, Kiến trúc phần mềm",Yes,Yes,4,,,,4.440546143,6.479561646,2.04,0.46
48,experimental,4,5,4,4,3,4,4,4,5,5,4,4,4,4,3,5,4,4,4,,18-25,3,3,"Hệ quản trị cơ sở dữ liệu, Software Architechture, Phát triển web front end",Yes,Yes,4,,,,7.916167942,10.87981272,2.96,0.37
49,experimental,2,4,2,4,4,4,5,4,5,5,4,5,5,5,5,5,5,4,5,,18-25,3,1,Software Architechture,Yes,Yes,5,,,,0.649443691,8.988050401,8.34,12.84
50,experimental,3,4,4,4,3,4,4,4,5,4,4,5,4,4,5,4,4,5,3,,18-25,2,1,Kiến trúc phần mềm,Yes,Yes,4,,,,8.958293666,9.552961915,0.59,0.07
51,experimental,3,4,2,4,3,4,2,3,5,4,4,5,5,4,4,4,3,4,5,,18-25,3,3,"Lịch sử Đảng, Hệ quản trị cơ sở dữ liệu, Software Architechture",Yes,Yes,4,,Add a comment box,,0.660465542,9.939328823,9.28,14.05
52,experimental,2,2,1,4,3,4,2,2,5,4,4,5,4,4,4,4,4,4,4,,18-25,4,1,Software Architechture,Yes,Yes,4,,Add a comment box,,4.371253819,6.209866964,1.84,0.42
53,experimental,4,3,4,5,4,4,4,3,5,5,5,5,5,5,5,4,5,5,4,,18-25,3,3,"International Finance, Nhập môn Hệ thống thông tin quản lý, Tin học ứng dụng khối ngành kinh tế",Yes,Yes,4,It is very good and interesting,It is very good and we need to be put away,I find it very useful and visionary,6.582398924,3.64199793,-2.94,-0.45
54,experimental,2,3,5,3,4,5,4,5,5,4,4,4,5,3,4,4,4,5,3,,18-25,4,2,"Quality Management, Introduction to Management Information System",Yes,Yes,5,It is easy to understand and reach for students and teachers,No comment,I think it is great. I can review my progress and know what to do next from this,5.586098014,8.632061981,3.05,0.55
55,experimental,4,3,3,4,4,4,3,4,3,4,4,4,4,4,3,4,3,4,4,,18-25,4,2,"Quality Management, Introduction to Management Information System",Yes,Yes,4,Easy to understand for beginner to access,,Student can easily to follow their plan and what achivement they have received,2.560241257,3.270283745,0.71,0.28
56,experimental,2,3,2,1,2,1,2,2,1,3,4,4,4,3,4,3,4,5,5,,18-25,1,4,"Quản trị học, Thống kê trong kinh doanh, Nhập môn hệ thống thông tin quản lý, Phân tích báo cáo tài chính",No,Yes,3,,I have no comment on this matter. I think it is pretty good,I have no comment on this matter. I think it is pretty good,4.190184993,10.14706735,5.96,1.42
57,experimental,3,2,4,5,3,4,4,5,5,4,5,4,5,4,5,3,5,4,4,,18-25,1,3,"International Finance, Nhập môn Hệ thống thông tin quản lý, Tin học ứng dụng khối ngành kinh tế",Yes,Yes,5,,"I feel good, useful",,6.415539137,9.706171717,3.29,0.51
58,experimental,4,2,3,5,4,5,5,4,5,5,5,5,5,5,4,5,5,5,4,,18-25,2,3,"International Finance, Nhập môn Hệ thống thông tin quản lý, Tin học ứng dụng khối ngành kinh tế",Yes,Yes,5,It is good and useful,It helps me understand the learning process well. I also want my school to set course goals,I fell happy because it is interesting. I wish that I will be study it in the future,1.654077231,4.326648025,2.67,1.62
59,experimental,4,3,4,5,4,5,4,4,5,4,4,5,4,4,4,4,4,5,4,,18-25,3,3,"Business law and ethics, Information tech in business, Introduction to MIS",Yes,Yes,4,I have none,I have no comment,I have none,0.002135673,7.545250972,7.54,3531.96
60,experimental,4,4,3,3,4,3,3,2,4,4,4,4,4,4,4,4,4,4,3,,18-25,3,2,"Phát triển web frontend, Kiểm thử",Yes,Yes,4,Useful and very good,Useful and very good,Useful and very good,5.48622718,7.402529002,1.92,0.35
61,experimental,3,5,4,5,5,5,5,5,5,5,5,4,4,5,4,5,4,5,4,,18-25,3,6,,Yes,Yes,4,,,,8.779806246,9.949624369,1.17,0.13
62,experimental,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,18-25,4,4,"Tin học dự bị, Lịch sử tâm lý học, Nhập môn tâm lý học, Triết học Mác Lênin",Yes,Yes,5,,,,7.570490606,9.62648809,2.06,0.27
63,experimental,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,18-25,2,5,"Tin, Tiếng Anh, Lịch sử tâm lý học, Nhập môn tâm lý học, Triết học Mác Lênin",Yes,Yes,5,,,,4.747977883,5.287188868,0.54,0.11
64,experimental,4,4,4,4,4,4,4,4,4,5,3,4,4,3,4,4,3,3,3,,Larger than 25,4,4,"Lịch sử tâm lý học, Nhập môn tâm lý học, Tiếng Anh, Tin học",Yes,Yes,4,,,,8.821005043,5.500146078,-3.32,-0.38
65,experimental,5,4,4,5,5,5,4,5,5,4,5,5,4,5,4,5,5,5,4,,18-25,2,5,"Lịch sử tâm lý học, Nhập môn tâm lý học, Triết học Mác Lênin, Tin học dự bị, Tiếng Anh hội nhập quốc tế",Yes,Yes,5,,,,6.023096183,3.450555275,-2.57,-0.43
66,experimental,4,4,4,4,4,4,4,4,5,5,3,3,3,5,5,4,4,4,5,,Larger than 25,3,5,"Tin học dự bị, Lịch sử tâm lý học, Nhập môn tâm lý học, Tiếng Anh, Triết học Mác Lênin",Yes,Yes,5,,,,0.516965667,8.276706579,7.76,15.01
67,experimental,3,4,3,4,4,5,4,4,5,4,4,4,5,5,3,4,4,4,4,,18-25,4,5,"Nhập môn tâm lý học, Tiếng Anh, Lịch sử tâm lý học, Tin học, Triết học Mác Lênin",Yes,Yes,4,,,,1.035001731,4.488999556,3.45,3.34
68,experimental,3,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,,18-25,2,5,"Nhập môn tâm lý học, Lịch sử tâm lý học, Triết học Mác Lênin, Tiếng Anh hội nhập quốc tế 1, Tiếng Anh hội nhập quốc tế 2, Tin học dự bị",Yes,Yes,4,,,,6.376412529,8.558461854,2.18,0.34
69,experimental,4,5,4,5,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4,,18-25,1,5,"Tin học, Anh văn, Lịch sử tâm lý học, Nhập môn tâm lý học, Triết",Yes,Yes,4,,,,1.389004522,2.177699021,0.79,0.57
70,experimental,3,5,5,5,5,5,5,4,5,5,5,4,4,5,3,4,4,5,4,,18-25,4,4,"Lịch sử tâm lý học, Nhập môn tâm lý học, Tin học dự bị, Triết học Mác Lênin",Yes,Yes,4,,,,2.502234712,7.410151325,4.91,1.96
71,experimental,3,4,4,3,4,4,2,3,3,4,4,3,4,5,4,4,4,3,4,,18-25,3,5,"Tiếng Anh hội nhập quốc tế 1, Tin học dự bị, tin học ứng dụng, Triết học Mác Lênin, Kinh tế vi mô",Yes,Yes,3,,,,1.119659293,3.968017886,2.85,2.54
72,experimental,4,3,4,4,4,4,3,4,5,5,4,4,4,5,4,4,5,5,4,,18-25,3,5,"Tiếng Anh hội nhập quốc tế 1, Kinh tế vi mô, Tin học ứng dụng khối ngành kinh tế, Tin học dự bị, Triết học Mác Lênin, ",Yes,Yes,4,,,,7.834012592,10.51790079,2.68,0.34
73,experimental,4,3,5,4,4,4,4,4,5,5,4,3,4,4,4,5,3,4,3,,18-25,2,5,"Phương pháp học đại học, Tư duy phản biện, tin học ứng dụng khối ngành kinh tế, Marketing căn bản, Pháp luật đại cương",Yes,Yes,4,,,,5.726584682,6.065481642,0.34,0.06
74,experimental,4,3,4,4,3,2,5,3,5,5,4,4,4,3,5,4,4,3,3,,18-25,4,5,"EII, Tin học dự bị, Kinh tế vi mô, Triết học Mác Leenin, Tin học ứng dụng khối ngành kinh tế",Yes,Yes,4,,,,2.010499485,4.533386747,2.52,1.25
75,experimental,4,2,5,5,5,5,5,4,5,5,5,5,4,5,5,4,5,5,5,,18-25,3,6,"Kinh tế vi mô, Triết học Mác Lênin, Tin học dự bị, Tin học ứng dụng khối ngành kinh tế, Tiếng Anh hội nhập quốc tế 2, Tiếng Anh hội nhập quốc tế 3",Yes,Yes,5,"No, I do not have any comment","No, I do not have any comment","No, I do not have any comment",3.674446481,4.72648273,1.05,0.29
76,experimental,3,3,4,3,4,5,2,4,4,4,5,5,4,4,5,5,5,5,4,,18-25,1,6,"Triết học Mác Lênin, Kinh tế vi mô, Tin học dự bị, Tin học ứng dụng khối ngành kinh tế, Tiếng Anh hội nhập quốc tế 2, Tiếng Anh hội nhập quốc tế 3",Yes,Yes,4,,,,2.333891363,9.979501778,7.65,3.28
77,experimental,3,5,5,4,3,4,4,4,5,4,4,3,4,4,4,4,4,4,4,,18-25,3,5,"Tiếng Anh hội nhập quốc tế, Tin học dự bị, Tin học ứng dụng khối ngành kinh tế, Triết học Mác Lênin, Kinh tế vi mô",Yes,Yes,4,,,,6.344425921,10.07461371,3.73,0.59
78,experimental,4,4,5,4,5,5,5,5,5,4,5,5,3,4,5,5,3,4,5,,18-25,2,1,Fitness,Yes,Yes,5,,,,2.719173822,7.232896259,4.51,1.66
79,experimental,4,4,5,5,4,5,4,5,5,5,4,4,4,5,3,4,4,4,4,,18-25,3,5,"Kinh tế vi mô, Tiếng Anh hội nhập quốc tế, Triết học Mác Lênin, Tin học dự bị, Tin học ứng dụng khối ngành kinh tế",Yes,Yes,5,,,,5.824867382,4.950861928,-0.87,-0.15
80,experimental,4,4,5,4,3,5,4,4,5,4,3,5,4,5,4,4,5,5,3,,18-25,3,6,"E II 1, E II 2, Marxist - Leninist Philosophy, Micro Economics, Information Technology in Business, Microsoft Office",Yes,Yes,4,,,,3.474621739,10.34293449,6.87,1.98
81,experimental,3,4,4,5,5,5,4,5,5,5,5,3,3,5,4,4,5,4,4,,18-25,3,5,"Tiếng Anh, Nhập môn tâm lý học, Lịch sử tâm lý học, Triết học, Tin học",Yes,Yes,4,,,,2.099211299,4.202279742,2.10,1.00
82,experimental,4,4,5,5,5,5,4,4,5,4,4,4,5,5,4,5,4,4,5,,18-25,3,5,"Lịch sử tâm lý học, Nhập môn tâm lý học, Tin học dự bị, Triết học Mác Lênin, E II",Yes,Yes,5,,,,1.942665892,2.49532517,0.55,0.28
83,experimental,4,5,4,3,5,5,5,4,5,4,4,5,3,4,3,4,4,3,5,,18-25,5,5,"Triết học Mác Lênin, Anh văn dự bị 3, Tin học dự bị, Nhập môn tâm lý học, Lịch sử tâm lý học",Yes,Yes,4,,,,7.050536817,4.000326227,-3.05,-0.43
84,experimental,5,5,5,4,4,4,5,5,5,4,4,3,4,5,5,4,4,5,5,,18-25,3,5,"Nhập môn tâm lý học, Lịch sử tâm lý học, Tiếng Anh hội nhập quốc tế , Tin học dự bị, Triết học Mác Lênin",Yes,Yes,4,,,,8.950901904,4.109530856,-4.84,-0.54
85,experimental,5,5,5,5,5,5,5,5,5,5,5,4,5,3,5,5,5,5,4,,18-25,1,5,"Nhập môn tâm lý học, Lịch sử tâm lý học, Tin học dự bị, Triết học Mác Lênin, Tiếng Anh",Yes,No,4,,,,1.787394765,5.945237747,4.16,2.33
86,experimental,1,4,5,4,4,5,4,4,5,3,3,5,4,3,4,4,5,5,5,,18-25,4,4,"Nhập môn tâm lý học, Lịch sử tâm lý học, Tin học dự bị, Triết học Mác Lênin",Yes,Yes,4,No,No,No,7.249497581,3.57544504,-3.67,-0.51
87,experimental,4,2,1,2,4,4,2,5,5,5,4,5,2,3,3,5,5,4,3,,18-25,5,4,"Tin học ứng dụng khối ngành kinh tế, Kinh tế vi mô, Tin học dự bị, Triết học Mác Lênin",Yes,Yes,3,"I think that should mỏe colors avaable (either mỏe palette ỏ with a dark mode - since it would be mỏe gentle for the eyes). Also, the graph needs mỏe information about each ""phase"" for the learners, so they will know mỏe about what they are going to learn about the course",The rating system may be used not as intended for some universities/ schools that are unwilling to look at the learners' feedback,"I like the idea that you can tick a lession when your are finished absorbing the knowledge, but would it be token advantage of if the student are untruthful about their learning. They would just tick the lesson without actually understand the lesson",3.910461934,5.467631112,1.56,0.40
88,experimental,4,5,5,4,4,3,5,3,3,4,5,4,5,5,5,4,5,5,5,,18-25,5,4,"Introduction to Psychology, History of Psychology, Tin học dự bị, Triết học Mác Lênin",Yes,Yes,5,,,,0.94683436,5.232642233,4.29,4.53
89,experimental,4,5,3,4,3,5,5,3,5,5,5,5,5,5,4,5,5,5,4,,18-25,4,4,"Introduction to Psychology, History of Psychology, Tphilosophy ò Karl Mã and Lenin, Preparation ò Information and Communication of Technology",Yes,Yes,5,,,,0.18783266,6.747142687,6.56,34.92
