"code","date","age","province","country","1_q1","1_q2","1_q3","1_q4","1_q5","1_q6","1_q7","1_q8","1_q9","1_q10","2_p2_1","2_p2_2","2_p2_3","2_p2_4","2_p2_5","2_p2_6","2_p2_7","2_p2_8","2_p2_9","2_p3_10","2_p3_11","2_p3_12","2_p3_13","2_p3_14","2_p3_15","2_p3_16","2_p3_17","2_p3_18v","2_p3_18e","2_p3_19v","2_p3_19e","2_p3_20v","2_p3_20e","translated"
"s23","06/02/2023","18","","","5","1","5","5","1","1","5","1","5","5","4","3","5","4","1","4","4","5","3","Fulltime student","18-25","3","4","Nhập môn lập trình, Tin học dự bị, Tiếng Anh hội nhập quốc tế 1, Tiếng Anh hội nhập quốc tế 2","Yes","Yes","4","Figure 1, em cảm thấy nó hơi vắn tắt và đơn điệu, khiến nó khó có thể thu hút được sự chú ý của học sinh","","Figure 2, em cảm thấy rất tuyệt vời","","Đến với Figure 3, em cảm thấy việc đánh giá khá tốt và hiệu quả hơn hiện tại","","Yes"
"s24","06/02/2023","18","","","4","5","3","4","4","3","","5","4","3","4","5","3","4","4","3","5","4","4","Fulltime student","18-25","1","","Nhập môn lập trình, English, Tin học dự bị","Yes","Yes","5","","","","","","","No"
"s25","06/02/2023","33","","","5","4","4","4","4","3","","5","4","2","5","5","5","5","5","5","5","5","5","Fulltime student","Larger than 25","2","3","Tin học dự bị, Nhập môn lập trình, Anh văn","Yes","Yes","5","Giao diện trực quan, giúp sinh viên học tập tốt hơn","","Giúp cho tất cả sinh viên dễ dàng sử dụng, thiết kế rõ ràng","","Đưa ra thông tin rõ ràng, giúp cho sinh viên hoàn thiện bản thân trong quá trình học tập","","Yes"
"s26","06/02/2023","19","","","1","1","1","1","3","3","1","1","1","3","2","4","4","4","5","5","4","3","3","Fulltime student","18-25","2","3","Tin học dự bị, Công nghệ thông tin, Anh văn","Yes","Yes","4","Rất hay và rất mong đợi","","Giúp cho chúng ta có nhiều kiến thức","","Nhưng có thể nào thêm nhiều ngôn ngữ để cho những người khác có thể biết và học được không?","","Yes"
"s27","21/02/2023","21","","","5","4","4","4","4","5","5","5","5","4","5","5","5","5","5","4","5","5","4","Fulltime student","18-25","1","2","Triết học Mác Leenin, Giáo dục thể chất","Yes","Yes","5","","I feel this suit for everyone to knowledge about my life","","I think that it is very good","","","No"
"s28","21/02/2023","20","","","3","4","4","4","4","4","5","5","5","3","4","4","4","5","4","5","4","5","4","Fulltime student","18-25","1","2","Lịch sử Đảng, Nhập môn Hệ thống thông tin quản lý","Yes","Yes","4","","I fell pretty good in Figure 1","","I fell pretty good in Figure 1 and Figure 2","","I fell pretty good in Figure 3","No"
"s29","21/02/2023","20","","","3","3","4","4","4","3","2","4","5","5","4","4","4","5","5","4","5","5","4","Fulltime student","18-25","2","1","Introduction to management information systems","Yes","Yes","4","","I fell pretty good in Figure 1","","I fell it useful","","I fell pretty good in Figure 3","No"
"s30","21/02/2023","20","","","4","4","3","5","4","5","3","4","5","4","4","4","5","5","4","4","4","5","4","Fulltime student","18-25","4","2","International Finance, Nhập môn Hệ thống thông tin quản lý","Yes","Yes","4","Rõ ràng, dễ hiểu, màu sắc không bị chán","","Mong sớm có thêm nhiều ngôn ngữ ngoài tiếng Anh và có trên điện thoại","","","","Yes"
"s31","21/02/2023","22","","","2","4","5","3","3","4","2","2","4","3","2","4","4","2","4","4","4","4","4","Fulltime student","18-25","2","3","Kinh tế vi mô, Quản lý dữ liệu với Excel và Access, Hệ thống thông tin quản lý","Yes","No","2","","Necessary and should applied to education","","Necessary and should applied to education","","Necessary and should applied to education","No"
"s32","21/02/2023","20","","","4","3","4","5","4","5","2","4","5","3","4","4","4","4","5","3","4","4","3","Fulltime student","18-25","4","2","Bơi, Hệ thống thông tin quản lý","Yes","Yes","3","","In my opinion, this is a good figure. In this figure, we can see lecture with ascending level","","","","I think it is good, but it has some problem in there. In this figure, we can just see the percentage score about skill that we do before but it doesnot have solution that people (student) can improve percentage in this skill","No"
"s33","21/02/2023","19","","","3","4","4","5","3","4","3","4","4","4","4","4","3","4","5","4","4","4","3","Fulltime student","18-25","4","2","Nhập môn Hệ thống thông tin quản lý, Kinh tế chính trị","Yes","Yes","4","","Good and useful","","Good and useful","","Good and useful","Yes"
"s34","21/02/2023","21","","","4","3","4","5","4","5","2","4","4","3","5","4","5","3","4","4","4","5","3","Fulltime student","18-25","1","2","Luật và đạo đức kinh doanh, Nhập môn Hệ thống thông tin quản lý","Yes","Yes","5","Em thấy nó rất mới mẻ và thú vị","","Rất tuyệt ạ","","Giao diện bắt mắt, mới, làm em rất hứng thu. Nó cũng rất dễ hiểu, dễ dàng tiếp thu kiến thức","","Yes"
"s35","21/02/2023","19","","","1","2","3","4","4","5","4","3","5","4","4","4","4","4","3","4","4","4","3","Fulltime student","18-25","3","3","Anh văn giao tiếp quốc tế 6, Lịch sử Đảng, Nhập môn Hệ thống thông tin quản lý","Yes","Yes","4","","Useful","","Useful","","Useful","No"
"s36","21/02/2023","23","","","4","4","4","4","4","4","4","4","5","5","3","4","3","4","3","5","5","4","3","Fulltime student","18-25","2","3","Giới và phát triển, Quản trị nhân sự, Nhập môn Hệ thống thông tin quản lý","Yes","Yes","5","","Useful","","Useful","","Useful","No"
"s37","21/02/2023","19","","","1","2","3","4","4","5","4","3","5","4","4","4","4","4","3","4","4","4","3","Fulltime student","18-25","3","3","Anh văn giao tiếp quốc tế 6, Lịch sử Đảng, Nhập môn Hệ thống thông tin quản lý","Yes","Yes","4","","Useful","","Useful","","Useful","No"
"s38","21/02/2023","22","","","3","4","4","3","4","3","4","3","5","4","4","4","4","3","4","3","3","4","3","Fulltime student","18-25","2","3","Software Architechture, Bóng chuyền, Front end","Yes","Yes","4","","","","","","","No"
"s39","21/02/2023","21","","","4","5","5","4","3","5","5","3","5","4","5","4","5","3","5","3","5","4","4","Fulltime student","18-25","3","2","Software Architechture","Yes","Yes","1","","No comment","","No comment","","No comment","No"
"s40","21/02/2023","22","","","3","4","4","3","4","3","4","3","5","4","4","4","4","3","4","3","3","4","3","Fulltime student","18-25","2","2","Software Architechture, Hệ quản trị cơ sở dữ liệu","Yes","Yes","4","","","","","","","No"
"s41","21/02/2023","23","","","4","4","5","4","3","5","4","4","5","5","5","5","5","5","5","5","4","4","5","Fulltime student","18-25","3","2","Software Architechture, Web Front end","Yes","Yes","5","Hình ảnh và kích thước chữ cần to hơn","","Cần thêm một box comment đánh giá vì sao đánh sao như vậy","","Cần thêm biểu đồ để thể hiện mức độ hiểu biết của mình","","Yes"
"s42","21/02/2023","22","","","3","3","4","5","4","5","5","4","4","4","4","3","4","4","3","4","4","4","3","Fulltime student","18-25","2","4","Software Architechture, Hệ quản trị cơ sở dữ liệu, Con người và Môi trường, Phát triển Web Front end","No","Yes","3","","","","","","","No"
"s43","21/02/2023","22","","","3","4","4","3","4","5","4","4","5","5","4","4","3","5","5","5","5","4","3","Fulltime student","18-25","3","1","Software Architechture","Yes","Yes","5","Có thể chạy được trên mobile, có video ngắn để dễ hiểu hơn","","","","","","Yes"
"s44","21/02/2023","21","","","4","4","3","4","5","5","3","4","5","5","5","5","5","5","5","5","4","5","5","Fulltime student","18-25","3","2","Software Architechture","Yes","Yes","5","","Good","","Nice","","Perfect","No"
"s45","21/02/2023","22","","","4","5","4","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4","4","Fulltime student","18-25","4","2","Software Architechture, Hệ quản trị cơ sở dữ liệu","Yes","Yes","4","","This website is useful for me. I think is okey","","","","","No"
"s46","21/02/2023","23","","","4","4","3","3","4","5","3","3","3","4","2","2","3","2","4","4","4","3","4","Fulltime student","18-25","3","1","Software Architechture","Yes","Yes","4","Quan tâm hơn về UI/ Ũ, phần thông tin phía bên phải làm người dùng hơi khó đọc","","","","","","Yes"
"s47","21/02/2023","22","","","2","4","2","4","4","4","4","4","5","5","4","4","4","4","4","4","5","4","5","Fulltime student","18-25","3","3","Kỹ năng sử dụng tiếng Việt, Truyền thông đại chúng, Kiến trúc phần mềm","Yes","Yes","4","Đồng ý","","Phông chữ cần đậm hơn","","Phông chữ đậm hơn","","Yes"
"s48","21/02/2023","23","","","4","5","4","4","3","4","4","4","5","5","4","4","4","4","3","5","4","4","4","Fulltime student","18-25","3","3","Hệ quản trị cơ sở dữ liệu, Software Architechture, Phát triển web front end","Yes","Yes","4","","","Nên thêm một ô hiển thị các key words của bài học có thể research trước hoặc sau khi học để có thể xem lại kiến thức dễ dàng hơn","","","","Yes"
"s49","21/02/2023","22","","","2","4","2","4","4","4","5","4","5","5","4","5","5","5","5","5","5","4","5","Fulltime student","18-25","3","1","Software Architechture","Yes","Yes","5","Chức năng và thiết kế nhìn khá dễ hiểu","","Nên bổ sung thêm âm thanh và thiết kế đẹp hơn","","Chức năng và thiết kế dễ hiểu và cần thiết","","Yes"
"s50","21/02/2023","21","","","3","4","4","4","3","4","4","4","5","4","4","5","4","4","5","4","4","5","3","Fulltime student","18-25","2","1","Kiến trúc phần mềm","Yes","Yes","4","Tôi nghĩ đây là một ứng dụng hoàn toàn mới và tôi cảm thấy khá phù hợp với bản thân mình","","Tôi đồng ý","","Tôi cảm thấy rất dễ hiểu và biết về khả năng của mình","","Yes"
"s51","21/02/2023","21","","","3","4","2","4","3","4","2","3","5","4","4","5","5","4","4","4","3","4","5","Fulltime student","18-25","3","3","Lịch sử Đảng, Hệ quản trị cơ sở dữ liệu, Software Architechture","Yes","Yes","4","","","","Add a comment box","","","No"
"s52","21/02/2023","26","","","2","2","1","4","3","4","2","2","5","4","4","5","4","4","4","4","4","4","4","Fulltime student","18-25","4","1","Software Architechture","Yes","Yes","4","","","","Add a comment box","","","No"
"s53","21/02/2023","21","","","4","3","4","5","4","4","4","3","5","5","5","5","5","5","5","4","5","5","4","Fulltime student","18-25","3","3","International Finance, Nhập môn Hệ thống thông tin quản lý, Tin học ứng dụng khối ngành kinh tế","Yes","Yes","4","","It is very good and interesting","","It is very good and we need to be put away","","I find it very useful and visionary","No"
"s54","21/02/2023","23","","","2","3","5","3","4","5","4","5","5","4","4","4","5","3","4","4","4","5","3","Fulltime student","18-25","4","2","Quality Management, Introduction to Management Information System","Yes","Yes","5","","It is easy to understand and reach for students and teachers","","No comment","","I think it is great. I can review my progress and know what to do next from this","No"
"s55","21/02/2023","23","","","4","3","3","4","4","4","3","4","3","4","4","4","4","4","3","4","3","4","4","Fulltime student","18-25","4","2","Quality Management, Introduction to Management Information System","Yes","Yes","4","","Easy to understand for beginner to access","","","","Student can easily to follow their plan and what achivement they have received","No"
"s56","21/02/2023","22","","","2","3","2","1","2","1","2","2","1","3","4","4","4","3","4","3","4","5","5","Fulltime student","18-25","1","4","Quản trị học, Thống kê trong kinh doanh, Nhập môn hệ thống thông tin quản lý, Phân tích báo cáo tài chính","No","Yes","3","Em không có gì góp ý về vấn đề này. Nhưng em nghĩ cái này khá hay và nên áp dụng vào nhiều môn khác","","","I have no comment on this matter. I think it is pretty good","","I have no comment on this matter. I think it is pretty good","No"
"s57","21/02/2023","21","","","3","2","4","5","3","4","4","5","5","4","5","4","5","4","5","3","5","4","4","Fulltime student","18-25","1","3","International Finance, Nhập môn Hệ thống thông tin quản lý, Tin học ứng dụng khối ngành kinh tế","Yes","Yes","5","Rõ ràng, đơn giản, dễ nhận diện và tiếp thu","","","I feel good, useful","Figure 3 sẽ đóng vai trò quan trọng trong việc giúp các học sinh, sinh viên định hướng phát triển học tập cá nhân","","Yes"
"s58","21/02/2023","21","","","4","2","3","5","4","5","5","4","5","5","5","5","5","5","4","5","5","5","4","Fulltime student","18-25","2","3","International Finance, Nhập môn Hệ thống thông tin quản lý, Tin học ứng dụng khối ngành kinh tế","Yes","Yes","5","","It is good and useful","","It helps me understand the learning process well. I also want my school to set course goals","","I fell happy because it is interesting. I wish that I will be study it in the future","No"
"s59","21/02/2023","21","","","4","3","4","5","4","5","4","4","5","4","4","5","4","4","4","4","4","5","4","Fulltime student","18-25","3","3","Business law and ethics, Information tech in business, Introduction to MIS","Yes","Yes","4","","I have none","","I have no comment","","I have none","No"
"s60","21/02/2023","22","","","4","4","3","3","4","3","3","2","4","4","4","4","4","4","4","4","4","4","3","Fulltime student","18-25","3","2","Phát triển web frontend, Kiểm thử","Yes","Yes","4","","Useful and very good","","Useful and very good","","Useful and very good","No"
"s61","06/02/2023","27","","","3","5","4","5","5","5","5","5","5","5","5","4","4","5","4","5","4","5","4","Fulltime student","18-25","3","6","","Yes","Yes","4","","","","","","","No"
"s62","06/02/2023","23","","","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Fulltime student","18-25","4","4","Tin học dự bị, Lịch sử tâm lý học, Nhập môn tâm lý học, Triết học Mác Lênin","Yes","Yes","5","","","","","","","No"
"s63","06/02/2023","27","","","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Fulltime student","18-25","2","5","Tin, Tiếng Anh, Lịch sử tâm lý học, Nhập môn tâm lý học, Triết học Mác Lênin","Yes","Yes","5","","","","","","","No"
"s64","06/02/2023","32","","","4","4","4","4","4","4","4","4","4","5","3","4","4","3","4","4","3","3","3","Fulltime student","Larger than 25","4","4","Lịch sử tâm lý học, Nhập môn tâm lý học, Tiếng Anh, Tin học","Yes","Yes","4","","","","","","","No"
"s65","06/02/2023","19","","","5","4","4","5","5","5","4","5","5","4","5","5","4","5","4","5","5","5","4","Fulltime student","18-25","2","5","Lịch sử tâm lý học, Nhập môn tâm lý học, Triết học Mác Lênin, Tin học dự bị, Tiếng Anh hội nhập quốc tế","Yes","Yes","5","","","","","","","No"
"s66","06/02/2023","39","","","4","4","4","4","4","4","4","4","5","5","3","3","3","5","5","4","4","4","5","Fulltime student","Larger than 25","3","5","Tin học dự bị, Lịch sử tâm lý học, Nhập môn tâm lý học, Tiếng Anh, Triết học Mác Lênin","Yes","Yes","5","","","","","","","No"
"s67","06/02/2023","19","","","3","4","3","4","4","5","4","4","5","4","4","4","5","5","3","4","4","4","4","Fulltime student","18-25","4","5","Nhập môn tâm lý học, Tiếng Anh, Lịch sử tâm lý học, Tin học, Triết học Mác Lênin","Yes","Yes","4","","","","","","","No"
"s68","06/02/2023","18","","","3","4","4","4","4","4","4","5","5","4","4","4","4","4","4","4","4","4","4","Fulltime student","18-25","2","5","Nhập môn tâm lý học, Lịch sử tâm lý học, Triết học Mác Lênin, Tiếng Anh hội nhập quốc tế 1, Tiếng Anh hội nhập quốc tế 2, Tin học dự bị","Yes","Yes","4","","","","","","","No"
"s69","06/02/2023","19","","","4","5","4","5","4","4","4","4","4","4","5","4","4","4","4","4","5","4","4","Fulltime student","18-25","1","5","Tin học, Anh văn, Lịch sử tâm lý học, Nhập môn tâm lý học, Triết","Yes","Yes","4","","","","","","","No"
"s70","06/02/2023","19","","","3","5","5","5","5","5","5","4","5","5","5","4","4","5","3","4","4","5","4","Fulltime student","18-25","4","4","Lịch sử tâm lý học, Nhập môn tâm lý học, Tin học dự bị, Triết học Mác Lênin","Yes","Yes","4","","","","","","","No"
"s71","06/02/2023","21","","","3","4","4","3","4","4","2","3","3","4","4","3","4","5","4","4","4","3","4","Fulltime student","18-25","3","5","Tiếng Anh hội nhập quốc tế 1, Tin học dự bị, tin học ứng dụng, Triết học Mác Lênin, Kinh tế vi mô","Yes","Yes","3","Hệ thống hiển thị rõ ràng nội dung, dễ dàng tiếp cận và sắp xếp thời gian để hoàn thành mục tiêu","","Ý kiến cá nhân nên được thực hiện và thay đổi ngay lập tức trong quá trình học chứ không phải khóa học sau vì ý kiến cá nhân được đưa ra để tiện lợi hóa nhu cầu cá nhân đó","","Có thể theo dõi và nắm được trình độ bản thân so với tiêu chuẩn đầu ra, có thể cùng lúc cân bằng giữa trình độ và điểm số một cách tối ưu hóa. Tính năng này rất thực tế và cần thiết","","Yes"
"s72","06/02/2023","19","","","4","3","4","4","4","4","3","4","5","5","4","4","4","5","4","4","5","5","4","Fulltime student","18-25","3","5","Tiếng Anh hội nhập quốc tế 1, Kinh tế vi mô, Tin học ứng dụng khối ngành kinh tế, Tin học dự bị, Triết học Mác Lênin, ","Yes","Yes","4","Hệ thống dễ xài, tốt, giao diện đẹp","","Hệ thống dễ xài, tốt, giao diện đẹp","","Dễ xài, tốt","","Yes"
"s73","06/02/2023","19","","","4","3","5","4","4","4","4","4","5","5","4","3","4","4","4","5","3","4","3","Fulltime student","18-25","2","5","Phương pháp học đại học, Tư duy phản biện, tin học ứng dụng khối ngành kinh tế, Marketing căn bản, Pháp luật đại cương","Yes","Yes","4","Mình thấy giao diện cũng thân thiện và ưa nhìn","","Mình thấy khá lười khi học xong phải để lại ôn tập tổng kết","","Mình thấy dễ để biết được trình độ của bản thân sau khi hoàn thành","","Yes"
"s74","06/02/2023","18","","","4","3","4","4","3","2","5","3","5","5","4","4","4","3","5","4","4","3","3","Fulltime student","18-25","4","5","EII, Tin học dự bị, Kinh tế vi mô, Triết học Mác Leenin, Tin học ứng dụng khối ngành kinh tế","Yes","Yes","4","Giao diện dễ nhìn, dễ dàng thao tác sử dụng","","Giao diện dễ nhìn","","Hệ thống cung cấp đầy đủ các thông tin cần thiết cho người sử dụng","","Yes"
"s75","06/02/2023","19","","","4","2","5","5","5","5","5","4","5","5","5","5","4","5","5","4","5","5","5","Fulltime student","18-25","3","6","Kinh tế vi mô, Triết học Mác Lênin, Tin học dự bị, Tin học ứng dụng khối ngành kinh tế, Tiếng Anh hội nhập quốc tế 2, Tiếng Anh hội nhập quốc tế 3","Yes","Yes","5","","No, I do not have any comment","","No, I do not have any comment","","No, I do not have any comment","No"
"s76","06/02/2023","19","","","3","3","4","3","4","5","2","4","4","4","5","5","4","4","5","5","5","5","4","Fulltime student","18-25","1","6","Triết học Mác Lênin, Kinh tế vi mô, Tin học dự bị, Tin học ứng dụng khối ngành kinh tế, Tiếng Anh hội nhập quốc tế 2, Tiếng Anh hội nhập quốc tế 3","Yes","Yes","4","Hệ thống này rất hữu ích","","Không có ý kiến","","Không có ý kiến","","Yes"
"s77","06/02/2023","19","","","3","5","5","4","3","4","4","4","5","4","4","3","4","4","4","4","4","4","4","Fulltime student","18-25","3","5","Tiếng Anh hội nhập quốc tế, Tin học dự bị, Tin học ứng dụng khối ngành kinh tế, Triết học Mác Lênin, Kinh tế vi mô","Yes","Yes","4","Tôi thấy phần này khá mới mẻ, dễ nhìn và khá dễ hiểu","","Tôi không có nhận xét và đề xuất","","Tôi không có nhận xét và đề xuất","","Yes"
"s78","06/02/2023","18","","","4","4","5","4","5","5","5","5","5","4","5","5","3","4","5","5","3","4","5","Fulltime student","18-25","2","1","Fitness","Yes","Yes","5","Hệ thống này khá mới mẻ, phù hợp với tôi","","I do not have any comment","","I do not have any comment","","Yes"
"s79","06/02/2023","18","","","4","4","5","5","4","5","4","5","5","5","4","4","4","5","3","4","4","4","4","Fulltime student","18-25","3","5","Kinh tế vi mô, Tiếng Anh hội nhập quốc tế, Triết học Mác Lênin, Tin học dự bị, Tin học ứng dụng khối ngành kinh tế","Yes","Yes","5","","","","","","","No"
