id,group,s1.1,s1.2,s1.3,s1.4,s1.5,s1.6,s1.7,s1.8,s1.9,s1.10,s2.1,s2.2,s2.3,s2.4,s2.5,s2.6,s2.7,s2.8,s2.9,s2.10,s2.11,s2.12,s2.13,s2.14,s2.15,s2.16,s2.17,s2.18,s2.19,s2.20,pre,post,diff,diffPercent
12,control,1,4,4,2,4,4,3,4,4,2,4,4,5,4,1,2,2,1,4,3,2,5,3,none,2,2,5,none,none,none,6.458236972,2.631431774,-3.83,-0.59
13,control,3,4,3,4,1,4,4,3,3,5,4,3,2,2,5,3,4,2,5,3,2,3,1,none,1,2,4,none,none,none,2.487887841,4.645139518,2.16,0.87
14,control,3,1,2,4,4,4,2,5,3,1,2,3,4,4,3,3,2,2,4,1,3,5,1,none,2,1,4,none,none,none,6.487913793,7.104005933,0.62,0.09
15,control,4,2,2,3,3,1,4,4,5,3,3,2,1,3,2,2,5,2,5,2,2,3,1,none,1,1,2,none,none,none,5.697325818,8.299530916,2.60,0.46
16,control,3,3,3,3,3,3,3,4,2,1,2,1,3,3,2,2,4,4,3,2,2,3,1,none,1,2,3,none,none,none,7.261069276,2.442511275,-4.82,-0.66
17,control,5,3,4,3,4,3,3,2,3,4,3,3,4,5,4,3,4,4,3,2,2,4,1,none,1,2,3,none,none,none,6.062087941,5.071159392,-0.99,-0.16
18,experimental,3,4,4,5,2,2,2,3,2,1,5,1,2,1,5,2,3,4,1,1,1,2,2,none,2,1,4,none,none,none,6.788105147,1.58415074,-5.20,-0.77
19,experimental,5,2,2,5,4,1,1,2,5,1,1,4,3,3,1,2,4,1,3,3,2,4,3,none,2,2,2,none,none,none,4.0775733,2.24681595,-1.83,-0.45
20,experimental,3,3,2,3,5,2,3,4,2,4,5,5,4,1,1,3,3,4,5,2,2,2,1,none,1,2,3,none,none,none,3.959828314,3.622518869,-0.34,-0.09
21,experimental,2,4,2,5,4,4,3,5,3,4,4,3,2,3,3,3,5,5,3,1,2,5,3,none,1,2,1,none,none,none,5.070153333,0.6065859,-4.46,-0.88
22,experimental,2,2,4,4,1,2,4,4,5,5,5,4,4,2,3,2,2,1,1,2,2,3,3,none,2,2,5,none,none,none,7.633880626,5.516869409,-2.12,-0.28
23,experimental,2,5,2,2,5,3,1,2,4,4,4,3,5,1,3,4,2,3,5,1,2,4,3,none,2,2,2,none,none,none,0.653803879,4.345665488,3.69,5.65
24,experimental,2,1,4,3,2,4,2,3,1,4,1,4,5,3,4,4,1,2,4,1,1,4,3,none,1,2,3,none,none,none,7.410677857,0.821346952,-6.59,-0.89
25,experimental,4,3,3,3,4,4,4,2,2,2,1,2,4,2,2,4,2,4,2,2,1,1,2,none,2,1,5,none,none,none,8.911442384,4.564943931,-4.35,-0.49
26,experimental,3,4,4,5,3,4,5,1,5,2,2,1,2,1,3,2,2,2,3,1,1,5,3,none,2,2,4,none,none,none,2.590222738,5.438116758,2.85,1.10
27,experimental,2,2,3,3,1,3,1,1,4,3,4,2,4,2,4,3,2,3,5,2,2,2,2,none,1,2,2,none,none,none,3.361195648,2.818187981,-0.54,-0.16
28,experimental,4,3,3,5,4,4,4,4,2,2,2,2,3,5,4,5,3,1,1,2,2,3,2,none,1,2,4,none,none,none,6.005768055,0.557983394,-5.45,-0.91
29,experimental,3,4,5,2,2,2,2,2,3,4,2,1,1,3,3,4,1,3,2,2,2,2,1,none,1,2,4,none,none,none,7.389653104,1.536044479,-5.85,-0.79
30,experimental,4,4,3,2,3,2,2,5,3,4,2,2,4,2,2,2,2,3,1,2,2,1,2,none,1,2,2,none,none,none,3.481661047,8.769791605,5.29,1.52
31,experimental,3,5,1,4,5,4,4,2,2,3,4,4,3,3,4,3,2,3,3,3,2,2,3,none,2,1,3,none,none,none,0.131622468,4.80031986,4.67,35.47
32,experimental,1,5,4,4,4,3,4,3,2,1,3,2,3,2,2,2,4,4,1,2,2,4,1,none,2,1,3,none,none,none,2.84304422,2.993951709,0.15,0.05
33,experimental,3,3,5,3,2,3,5,4,2,4,1,4,1,2,2,2,1,3,1,2,3,4,2,none,2,1,2,none,none,none,1.973482931,4.137363874,2.16,1.10
34,experimental,4,4,1,4,1,3,4,5,3,2,2,5,2,2,2,4,5,2,2,3,3,3,2,none,2,1,3,none,none,none,6.942145507,4.141850922,-2.80,-0.40
